"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
95.0,1.386,0.0,0.0,+-0.1,+-0.15%,,
95.0,1.531,0.0099,0.0764,+-0.1,+-0.15%,,
95.0,1.737,0.0243,0.1683,+-0.1,+-0.15%,,
95.0,2.082,0.0478,0.275,+-0.1,+-0.15%,,
95.0,2.641,0.0878,0.4026,+-0.1,+-0.15%,,
95.0,3.53,0.1568,0.5225,+-0.1,+-0.15%,,
95.0,5.006,0.2631,0.6286,+-0.1,+-0.15%,,
95.0,6.405,0.3782,0.6652,+-0.1,+-0.15%,,
95.0,7.102,0.432,0.6643,+-0.1,+-0.15%,,
95.0,7.46,0.4811,0.6572,+-0.1,+-0.15%,,
95.0,7.798,0.5394,0.6206,+-0.1,+-0.15%,,
95.0,7.901,0.5783,0.5783,+-0.1,+-0.15%,,
