"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
352.2,229.0,0.547,,+-0.7,+-1,,
347.4,205.0,0.547,,+-0.7,+-1,,
341.1,175.0,0.547,,+-0.7,+-1,,
334.6,145.0,0.547,,+-0.7,+-1,,
328.1,115.0,0.547,,+-0.7,+-1,,
321.5,85.0,0.547,,+-0.7,+-1,,
315.9,60.0,0.547,,+-0.7,+-1,,
312.4,40.0,0.547,,+-0.7,+-1,,
311.3,30.0,0.547,,+-0.7,+-1,,
312.7,22.1,0.547,,+-0.7,+-1,,
315.9,14.1,0.547,,+-0.7,+-1,,
324.9,10.2,0.547,,+-0.7,+-1,,
331.3,9.2,0.547,,+-0.7,+-1,,
342.8,9.4,0.547,,+-0.7,+-1,,
371.4,10.8,0.547,,+-0.7,+-1,,
410.4,11.9,0.547,,+-0.7,+-1,,
