"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
276.32,3.39,0.0901,,0.02,0.005,0.001,0.001
278.32,3.56,0.0901,,0.02,0.005,0.001,0.001
283.32,3.99,0.0901,,0.02,0.005,0.001,0.001
288.32,4.47,0.0901,,0.02,0.005,0.001,0.001
293.3,4.96,0.0901,,0.02,0.005,0.001,0.001
298.3,5.52,0.0901,,0.02,0.005,0.001,0.001
303.3,6.08,0.0901,,0.02,0.005,0.001,0.001
308.32,6.692,0.0901,,0.02,0.005,0.001,0.001
313.25,7.3,0.0901,,0.02,0.005,0.001,0.001
318.63,7.982,0.0901,,0.02,0.005,0.001,0.001
323.18,8.55,0.0901,,0.02,0.005,0.001,0.001
328.29,9.16,0.0901,,0.02,0.005,0.001,0.001
333.17,9.66,0.0901,,0.02,0.005,0.001,0.001
335.72,9.89,0.0901,,0.02,0.005,0.001,0.001
338.25,10.09,0.0901,,0.02,0.005,0.001,0.001
340.8,10.27,0.0901,,0.02,0.005,0.001,0.001
343.27,10.427,0.0901,,0.05,0.01,0.001,0.001
348.32,10.712,0.0901,,0.05,0.01,0.001,0.001
349.23,10.762,0.0901,,0.05,0.01,0.001,0.001
353.24,10.922,0.0901,,0.05,0.01,0.001,0.001
356.26,10.997,0.0901,,0.05,0.01,0.001,0.001
359.25,11.022,0.0901,,0.05,0.01,0.001,0.001
363.26,10.97,0.0901,,0.05,0.01,0.001,0.001
366.27,10.9,0.0901,,0.05,0.01,0.001,0.001
369.27,10.65,0.0901,,0.05,0.01,0.001,0.001
