"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,19.9,0.0,0.0,+- 0.01,,,
75.0,20.93,0.0078,0.0574,+- 0.01,,,
75.0,22.84,0.0259,0.1465,+- 0.01,,,
75.0,28.56,0.0753,0.3529,+- 0.01,,,
75.0,32.76,0.125,0.4559,+- 0.01,,,
75.0,36.3,0.177,0.5292,+- 0.01,,,
75.0,38.78,0.2215,0.5728,+- 0.01,,,
75.0,42.48,0.3057,0.6351,+- 0.01,,,
75.0,45.01,0.385,0.6724,+- 0.01,,,
75.0,49.77,0.6193,0.7626,+- 0.01,,,
75.0,50.79,0.722,0.7963,+- 0.01,,,
75.0,51.13,0.7935,0.8229,+- 0.01,,,
75.0,51.14,0.8077,0.8289,+- 0.01,,,
75.0,51.19,0.8268,0.8372,+- 0.01,,,
75.0,51.19,0.842,0.8443,+- 0.01,,,
75.0,51.16,0.8576,0.8521,+- 0.01,,,
75.0,50.89,0.9162,0.8886,+- 0.01,,,
75.0,50.13,0.9577,0.929,+- 0.01,,,
75.0,49.84,0.9677,0.9428,+- 0.01,,,
75.0,49.31,0.9827,0.9663,+- 0.01,,,
75.0,49.1,0.9871,0.974,+- 0.01,,,
75.0,48.78,0.9928,0.9857,+- 0.01,,,
75.0,48.32,1.0,1.0,+- 0.01,,,
