"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
388.15,0.3168,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.3485,0.056,0.152,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.3897,0.13,0.313,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.4288,0.202,0.424,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.4582,0.26,0.503,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.4864,0.307,0.56,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.5319,0.394,0.642,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.5859,0.492,0.719,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.6037,0.524,0.748,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.647,0.608,0.809,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.7213,0.747,0.898,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.7757,0.849,0.947,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8058,0.91,0.969,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8407,0.977,0.993,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8477,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
