"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,38.15,0.0,0.0,,,0.0005,0.002
313.15,38.396,0.033,0.0429,,,0.0005,0.002
313.15,38.799,0.0948,0.1128,,,0.0005,0.002
313.15,39.414,0.1794,0.2074,,,0.0005,0.002
313.15,39.981,0.2731,0.3049,,,0.0005,0.002
313.15,40.682,0.384,0.427,,,0.0005,0.002
313.15,41.363,0.4962,0.5298,,,0.0005,0.002
313.15,41.825,0.5937,0.6228,,,0.0005,0.002
313.15,42.411,0.6958,0.7179,,,0.0005,0.002
313.15,42.804,0.7813,0.799,,,0.0005,0.002
313.15,43.122,0.8626,0.873,,,0.0005,0.002
313.15,43.333,0.9237,0.9302,,,0.0005,0.002
313.15,43.555,0.9686,0.9716,,,0.0005,0.002
313.15,43.653,1.0,1.0,,,0.0005,0.002
