"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.6,760,0.022,0.024,,+-0.2,,
80.1,760,0.077,0.091,,+-0.2,,
79.7,760,0.14,0.162,,+-0.2,,
79.3,760,0.199,0.227,,+-0.2,,
78.9,760,0.258,0.29,,+-0.2,,
78.6,760,0.316,0.35,,+-0.2,,
78.2,760,0.376,0.409,,+-0.2,,
77.9,760,0.438,0.47,,+-0.2,,
77.7,760,0.482,0.513,,+-0.2,,
77.7,760,0.497,0.529,,+-0.2,,
77.5,760,0.548,0.576,,+-0.2,,
77.2,760,0.61,0.636,,+-0.2,,
77.0,760,0.676,0.696,,+-0.2,,
76.9,760,0.737,0.753,,+-0.2,,
76.8,760,0.799,0.81,,+-0.2,,
76.8,760,0.86,0.866,,+-0.2,,
76.7,760,0.919,0.922,,+-0.2,,
76.7,760,0.98,0.981,,+-0.2,,
