"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
173.9,1.0,0.0341,0.3361,,,,
166.8,1.0,0.0695,0.5218,,,,
160.9,1.0,0.0904,0.5969,,,,
158.3,1.0,0.1058,0.6381,,,,
153.8,1.0,0.1436,0.7113,,,,
151.4,1.0,0.1972,0.7752,,,,
150.0,1.0,0.2409,0.8062,,,,
148.8,1.0,0.2809,0.8276,,,,
147.9,1.0,0.3062,0.8425,,,,
146.9,1.0,0.3469,0.857,,,,
146.2,1.0,0.3761,0.8695,,,,
145.5,1.0,0.4084,0.8772,,,,
144.7,1.0,0.4616,0.8901,,,,
144.6,1.0,0.5071,0.8961,,,,
143.4,1.0,0.556,0.9072,,,,
142.9,1.0,0.6211,0.9167,,,,
141.9,1.0,0.6744,0.9237,,,,
141.1,1.0,0.7339,0.933,,,,
140.5,1.0,0.7992,0.9414,,,,
139.9,1.0,0.8278,0.9461,,,,
139.2,1.0,0.8713,0.9545,,,,
138.7,1.0,0.9109,0.9654,,,,
138.4,1.0,0.9269,0.966,,,,
138.0,1.0,0.9609,0.9807,,,,
