"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
-0.01,1.263,0.0,0.0,+-0.05,,,
-0.01,2.027,0.023,0.382,+-0.05,,,
-0.01,2.176,0.03,0.433,+-0.05,,,
-0.01,3.66,0.101,0.676,+-0.05,,,
-0.01,6.1,0.188,0.803,+-0.05,,,
-0.01,8.21,0.261,0.857,+-0.05,,,
-0.01,10.97,0.341,0.896,+-0.05,,,
-0.01,15.28,0.457,0.928,+-0.05,,,
-0.01,19.19,0.536,0.946,+-0.05,,,
-0.01,19.55,0.571,0.946,+-0.05,,,
-0.01,22.78,0.649,0.956,+-0.05,,,
-0.01,24.73,0.681,0.962,+-0.05,,,
-0.01,24.73,0.698,0.963,+-0.05,,,
-0.01,27.15,0.756,0.968,+-0.05,,,
-0.01,30.03,0.794,0.975,+-0.05,,,
-0.01,29.95,0.816,0.975,+-0.05,,,
-0.01,33.12,0.889,0.982,+-0.05,,,
-0.01,35.88,0.93,0.987,+-0.05,,,
-0.01,37.89,0.961,0.998,+-0.05,,,
-0.01,40.425,1.0,1.0,+-0.05,,,
