"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
25,8.37,1.0,,+-0.05,+-0.05,,
25,10.798,0.9474,,+-0.05,+-0.05,,
25,12.442,0.9049,,+-0.05,+-0.05,,
25,14.61,0.8159,,+-0.05,+-0.05,,
25,16.008,0.7058,,+-0.05,+-0.05,,
25,16.859,0.6043,,+-0.05,+-0.05,,
25,17.372,0.5135,,+-0.05,+-0.05,,
25,17.441,0.4966,,+-0.05,+-0.05,,
25,17.757,0.4129,,+-0.05,+-0.05,,
25,17.813,0.3962,,+-0.05,+-0.05,,
25,18.042,0.3104,,+-0.05,+-0.05,,
25,18.071,0.2916,,+-0.05,+-0.05,,
25,18.068,0.2051,,+-0.05,+-0.05,,
25,17.723,0.0993,,+-0.05,+-0.05,,
25,17.391,0.0451,,+-0.05,+-0.05,,
25,17.114,0.0213,,+-0.05,+-0.05,,
25,16.942,0.0,,+-0.05,+-0.05,,
