"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
45.0,0.6452,0.048,0.861,0.02,0.00025,0.005,0.005
45.0,1.287,0.098,0.926,0.02,0.00025,0.005,0.005
45.0,1.804,0.136,0.947,0.02,0.00025,0.005,0.005
45.0,2.3563,0.195,0.959,0.02,0.00025,0.005,0.005
45.0,2.9143,0.256,0.969,0.02,0.00025,0.005,0.005
45.0,3.4092,0.307,0.969,0.02,0.00025,0.005,0.005
45.0,3.8004,0.356,0.973,0.02,0.00025,0.005,0.005
45.0,4.2572,0.408,0.976,0.02,0.00025,0.005,0.005
45.0,4.5027,0.44,0.974,0.02,0.00025,0.005,0.005
45.0,4.8848,0.476,0.974,0.02,0.00025,0.005,0.005
45.0,5.3941,0.557,0.974,0.02,0.00025,0.005,0.005
45.0,5.9639,0.646,0.975,0.02,0.00025,0.005,0.005
45.0,6.5746,0.738,0.973,0.02,0.00025,0.005,0.005
45.0,7.1147,0.823,0.973,0.02,0.00025,0.005,0.005
45.0,7.3569,0.844,0.972,0.02,0.00025,0.005,0.005
