"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
47.5,250,1.0,1.0,+-0.15,+-0.6,,
46.6,250,0.931,0.901,+-0.15,+-0.6,,
46.1,250,0.903,0.861,+-0.15,+-0.6,,
45.9,250,0.865,0.817,+-0.15,+-0.6,,
45.1,250,0.776,0.721,+-0.15,+-0.6,,
44.6,250,0.707,0.657,+-0.15,+-0.6,,
44.5,250,0.65,0.606,+-0.15,+-0.6,,
44.2,250,0.603,0.567,+-0.15,+-0.6,,
44.3,250,0.544,0.521,+-0.15,+-0.6,,
44.3,250,0.459,0.46,+-0.15,+-0.6,,
44.2,250,0.413,0.423,+-0.15,+-0.6,,
44.5,250,0.391,0.411,+-0.15,+-0.6,,
44.7,250,0.268,0.319,+-0.15,+-0.6,,
44.8,250,0.257,0.311,+-0.15,+-0.6,,
45.0,250,0.188,0.251,+-0.15,+-0.6,,
45.3,250,0.113,0.177,+-0.15,+-0.6,,
45.8,250,0.07,0.119,+-0.15,+-0.6,,
46.8,250,0.052,0.094,+-0.15,+-0.6,,
47.7,250,0.0,0.0,+-0.15,+-0.6,,
