"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
444.05,101.32,0.0,0.0,+-0.02,+-0.01,,
439.45,101.32,0.0021,0.0951,+-0.02,+-0.01,,
436.19,101.32,0.0048,0.169,+-0.02,+-0.01,,
430.55,101.32,0.0099,0.289,+-0.02,+-0.01,,
425.93,101.32,0.016,0.3929,+-0.02,+-0.01,,
413.26,101.32,0.0348,0.5833,+-0.02,+-0.01,,
405.01,101.32,0.0445,0.6866,+-0.02,+-0.01,,
395.41,101.32,0.0634,0.7834,+-0.02,+-0.01,,
390.1,101.32,0.0817,0.8236,+-0.02,+-0.01,,
378.29,101.32,0.1166,0.8875,+-0.02,+-0.01,,
369.86,101.32,0.1534,0.9204,+-0.02,+-0.01,,
361.47,101.32,0.2027,0.9484,+-0.02,+-0.01,,
357.32,101.32,0.2673,0.9601,+-0.02,+-0.01,,
353.43,101.32,0.3329,0.968,+-0.02,+-0.01,,
349.49,101.32,0.4002,0.9702,+-0.02,+-0.01,,
346.81,101.32,0.4888,0.976,+-0.02,+-0.01,,
345.1,101.32,0.5549,0.9802,+-0.02,+-0.01,,
343.44,101.32,0.6421,0.9844,+-0.02,+-0.01,,
342.42,101.32,0.7052,0.9867,+-0.02,+-0.01,,
341.14,101.32,0.7923,0.9897,+-0.02,+-0.01,,
339.65,101.32,0.8934,0.9936,+-0.02,+-0.01,,
338.79,101.32,0.946,0.9959,+-0.02,+-0.01,,
338.15,101.32,0.9799,0.9984,+-0.02,+-0.01,,
337.75,101.32,1.0,1.0,+-0.02,+-0.01,,
