"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
74.05,100,1.0,1.0,+-0.05,,+-0.002,+-0.002
74.25,100,0.887,0.914,+-0.05,,+-0.002,+-0.002
75.03,100,0.764,0.814,+-0.05,,+-0.002,+-0.002
76.19,100,0.619,0.699,+-0.05,,+-0.002,+-0.002
76.98,100,0.522,0.611,+-0.05,,+-0.002,+-0.002
77.86,100,0.412,0.511,+-0.05,,+-0.002,+-0.002
78.64,100,0.319,0.415,+-0.05,,+-0.002,+-0.002
79.33,100,0.235,0.324,+-0.05,,+-0.002,+-0.002
80.15,100,0.141,0.211,+-0.05,,+-0.002,+-0.002
80.72,100,0.091,0.144,+-0.05,,+-0.002,+-0.002
82.1,100,0.0,0.0,+-0.05,,+-0.002,+-0.002
