"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
77.1,1,0.0,0.0,,,0.0003,0.0003
75.1,1,0.018,0.091,,,0.0003,0.0003
71.5,1,0.086,0.284,,,0.0003,0.0003
69.9,1,0.138,0.361,,,0.0003,0.0003
68.2,1,0.195,0.402,,,0.0003,0.0003
66.4,1,0.263,0.46,,,0.0003,0.0003
64.4,1,0.382,0.539,,,0.0003,0.0003
63.6,1,0.497,0.604,,,0.0003,0.0003
63.0,1,0.63,0.67,,,0.0003,0.0003
62.8,1,0.725,0.725,,,0.0003,0.0003
63.0,1,0.8,0.77,,,0.0003,0.0003
63.6,1,0.898,0.848,,,0.0003,0.0003
63.8,1,0.952,0.912,,,0.0003,0.0003
64.8,1,1.0,1.0,,,0.0003,0.0003
