"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
25,0.6689,0.0776,0.8853,0.01,,,
25,0.9591,0.1164,0.9175,0.01,,,
25,1.347,0.1701,0.9382,0.01,,,
25,1.5948,0.2055,0.9466,0.01,,,
25,2.0747,0.2743,0.9563,0.01,,,
25,2.3926,0.3241,0.9611,0.01,,,
25,2.8323,0.392,0.9649,0.01,,,
25,3.0268,0.4244,0.9665,0.01,,,
25,3.1778,0.449,0.9675,0.01,,,
25,3.5003,0.5045,0.9692,0.01,,,
25,3.9176,0.5815,0.971,0.01,,,
25,4.2085,0.6365,0.9719,0.01,,,
25,4.5721,0.7085,0.9727,0.01,,,
25,4.8563,0.7632,0.9731,0.01,,,
25,5.3381,0.8542,0.9733,0.01,,,
25,5.5716,0.8914,0.9729,0.01,,,
25,5.8303,0.9238,0.97,0.01,,,
25,5.9134,0.9381,0.9687,0.01,,,
