"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-20,41.6,0.0,0.0,+-0.05,+-0.1,2%,2%
-20,44.7,0.019,0.079,+-0.05,+-0.1,2%,2%
-20,49.5,0.048,0.183,+-0.05,+-0.1,2%,2%
-20,54.4,0.073,0.275,+-0.05,+-0.1,2%,2%
-20,64.9,0.135,0.424,+-0.05,+-0.1,2%,2%
-20,75.9,0.197,0.54,+-0.05,+-0.1,2%,2%
-20,95.6,0.313,0.676,+-0.05,+-0.1,2%,2%
-20,115.1,0.429,0.771,+-0.05,+-0.1,2%,2%
-20,138.8,0.56,0.847,+-0.05,+-0.1,2%,2%
-20,161.1,0.689,0.904,+-0.05,+-0.1,2%,2%
-20,180.4,0.798,0.942,+-0.05,+-0.1,2%,2%
-20,193.8,0.883,0.9651,+-0.05,+-0.1,2%,2%
-20,204.0,0.944,0.9819,+-0.05,+-0.1,2%,2%
-20,241.2,1.0,1.0,+-0.05,+-0.1,2%,2%
