"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,394,0.0,0.0,0.02,0.05%,0.003,0.003
100,400,0.0007,0.0117,0.02,0.05%,0.003,0.003
100,450,0.0067,0.0963,0.02,0.05%,0.003,0.003
100,500,0.0128,0.1642,0.02,0.05%,0.003,0.003
100,550,0.019,0.2203,0.02,0.05%,0.003,0.003
100,600,0.0255,0.2688,0.02,0.05%,0.003,0.003
100,700,0.0385,0.3416,0.02,0.05%,0.003,0.003
100,800,0.0523,0.3976,0.02,0.05%,0.003,0.003
100,900,0.067,0.4396,0.02,0.05%,0.003,0.003
100,1000,0.0828,0.4707,0.02,0.05%,0.003,0.003
100,1100,0.0996,0.4923,0.02,0.05%,0.003,0.003
100,1200,0.1182,0.5079,0.02,0.05%,0.003,0.003
100,1250,0.1282,0.513,0.02,0.05%,0.003,0.003
100,1300,0.139,0.5182,0.02,0.05%,0.003,0.003
100,1400,0.162,0.524,0.02,0.05%,0.003,0.003
100,1500,0.1885,0.5255,0.02,0.05%,0.003,0.003
100,1600,0.2192,0.5195,0.02,0.05%,0.003,0.003
100,1700,0.2532,0.5058,0.02,0.05%,0.003,0.003
100,1750,0.2725,0.4947,0.02,0.05%,0.003,0.003
100,1800,0.294,0.4797,0.02,0.05%,0.003,0.003
100,1850,0.3185,0.458,0.02,0.05%,0.003,0.003
100,1900,0.3578,0.419,0.02,0.05%,0.003,0.003
100,1907,0.388,0.388,0.02,0.05%,0.003,0.003
