"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
319.85,20,0.0,0.0,+-0.1,+-0.01,0.001,0.001
319.75,20,0.007,0.016,+-0.1,+-0.01,0.001,0.001
319.65,20,0.014,0.03,+-0.1,+-0.01,0.001,0.001
319.45,20,0.03,0.056,+-0.1,+-0.01,0.001,0.001
319.05,20,0.054,0.091,+-0.1,+-0.01,0.001,0.001
318.75,20,0.082,0.125,+-0.1,+-0.01,0.001,0.001
318.65,20,0.122,0.159,+-0.1,+-0.01,0.001,0.001
318.45,20,0.163,0.189,+-0.1,+-0.01,0.001,0.001
318.35,20,0.206,0.212,+-0.1,+-0.01,0.001,0.001
318.35,20,0.254,0.232,+-0.1,+-0.01,0.001,0.001
318.45,20,0.307,0.248,+-0.1,+-0.01,0.001,0.001
318.55,20,0.355,0.259,+-0.1,+-0.01,0.001,0.001
318.65,20,0.408,0.267,+-0.1,+-0.01,0.001,0.001
318.75,20,0.456,0.284,+-0.1,+-0.01,0.001,0.001
318.95,20,0.509,0.291,+-0.1,+-0.01,0.001,0.001
319.25,20,0.562,0.295,+-0.1,+-0.01,0.001,0.001
319.45,20,0.618,0.298,+-0.1,+-0.01,0.001,0.001
319.65,20,0.663,0.31,+-0.1,+-0.01,0.001,0.001
319.95,20,0.705,0.317,+-0.1,+-0.01,0.001,0.001
320.35,20,0.746,0.327,+-0.1,+-0.01,0.001,0.001
320.65,20,0.785,0.33,+-0.1,+-0.01,0.001,0.001
321.15,20,0.821,0.345,+-0.1,+-0.01,0.001,0.001
321.75,20,0.847,0.353,+-0.1,+-0.01,0.001,0.001
322.65,20,0.873,0.381,+-0.1,+-0.01,0.001,0.001
323.65,20,0.909,0.392,+-0.1,+-0.01,0.001,0.001
325.15,20,0.935,0.43,+-0.1,+-0.01,0.001,0.001
327.45,20,0.956,0.486,+-0.1,+-0.01,0.001,0.001
331.75,20,0.974,0.582,+-0.1,+-0.01,0.001,0.001
335.65,20,0.985,0.687,+-0.1,+-0.01,0.001,0.001
339.85,20,0.994,0.83,+-0.1,+-0.01,0.001,0.001
342.15,20,0.997,0.91,+-0.1,+-0.01,0.001,0.001
344.35,20,1.0,1.0,+-0.1,+-0.01,0.001,0.001
