"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.15,11.4,0.0,0.0,,,,
343.15,11.94,0.0389,0.0832,,,,
343.15,12.84,0.1029,0.2043,,,,
343.15,13.74,0.1647,0.3076,,,,
343.15,14.73,0.2306,0.4056,,,,
343.15,15.87,0.3046,0.5028,,,,
343.15,16.89,0.3707,0.5788,,,,
343.15,17.97,0.4388,0.6478,,,,
343.15,18.58,0.4783,0.6833,,,,
343.15,19.13,0.5129,0.7135,,,,
343.15,20.4,0.59,0.7761,,,,
343.15,21.79,0.6739,0.8346,,,,
343.15,22.99,0.7464,0.8784,,,,
343.15,23.9,0.8017,0.9093,,,,
343.15,24.98,0.8666,0.9422,,,,
343.15,26.03,0.9288,0.9706,,,,
343.15,26.76,0.9731,0.9892,,,,
343.15,27.16,1.0,1.0,,,,
