"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
75,22.0,0.886,,0.2,0.3,0.0025,0.0025
75,31.2,0.816,,0.2,0.3,0.0025,0.0025
75,38.7,0.766,,0.2,0.3,0.0025,0.0025
75,48.4,0.696,,0.2,0.3,0.0025,0.0025
75,60.7,0.605,,0.2,0.3,0.0025,0.0025
75,74.1,0.53,,0.2,0.3,0.0025,0.0025
75,86.0,0.474,,0.2,0.3,0.0025,0.0025
75,93.2,0.42,,0.2,0.3,0.0025,0.0025
75,102.2,0.351,,0.2,0.3,0.0025,0.0025
75,111.2,0.282,,0.2,0.3,0.0025,0.0025
75,112.0,0.216,,0.2,0.3,0.0025,0.0025
75,116.0,0.162,,0.2,0.3,0.0025,0.0025
75,119.1,,0.112,0.2,0.3,0.0025,0.0025
75,118.2,,0.09,0.2,0.3,0.0025,0.0025
