"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.47,12257,0.1235,,+-0.003,+-120,+-0.001,
322.88,31502,0.1235,,+-0.003,+-120,+-0.001,
298.48,15420,0.2066,,+-0.003,+-120,+-0.001,
322.88,38548,0.2066,,+-0.003,+-120,+-0.001,
298.45,17547,0.2781,,+-0.003,+-120,+-0.001,
322.87,43707,0.2781,,+-0.003,+-120,+-0.001,
298.44,20951,0.4054,,+-0.003,+-120,+-0.001,
322.87,52280,0.4054,,+-0.003,+-120,+-0.001,
298.42,23250,0.4994,,+-0.003,+-120,+-0.001,
322.88,57821,0.4994,,+-0.003,+-120,+-0.001,
