"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,11.751,0.0,,+-0.01,+-0.003,,
373.15,11.766,0.0,,+-0.01,+-0.003,,
373.15,11.737,0.0579,,+-0.01,+-0.003,,
373.15,11.7,0.1122,,+-0.01,+-0.003,,
373.15,11.601,0.2613,,+-0.01,+-0.003,,
373.15,11.513,0.3681,,+-0.01,+-0.003,,
373.15,11.435,0.4487,,+-0.01,+-0.003,,
373.15,11.328,0.5498,,+-0.01,+-0.003,,
373.15,11.382,0.4977,,+-0.01,+-0.003,,
373.15,11.313,0.5567,,+-0.01,+-0.003,,
373.15,11.171,0.6602,,+-0.01,+-0.003,,
373.15,11.019,0.7543,,+-0.01,+-0.003,,
373.15,10.853,0.8557,,+-0.01,+-0.003,,
373.15,10.693,0.9499,,+-0.01,+-0.003,,
373.15,10.589,1.0,,+-0.01,+-0.003,,
