"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.2,2014,0.0713,,0.003,+-0.01,,
323.44,6037,0.0713,,0.003,+-0.01,,
298.25,3245,0.1764,,0.003,+-0.01,,
323.5,9247,0.1764,,0.003,+-0.01,,
298.2,4498,0.2985,,0.003,+-0.01,,
323.45,12644,0.2985,,0.003,+-0.01,,
298.16,5385,0.3952,,0.003,+-0.01,,
323.42,15142,0.3952,,0.003,+-0.01,,
298.18,6237,0.4756,,0.003,+-0.01,,
