"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
173.9,760,0.915,0.9295,0.1,,0.05%,0.05%
174.4,760,0.8295,0.8545,0.1,,0.05%,0.05%
175.0,760,0.7425,0.77,0.1,,0.05%,0.05%
175.9,760,0.6135,0.646,0.1,,0.05%,0.05%
176.4,760,0.552,0.5895,0.1,,0.05%,0.05%
177.0,760,0.4555,0.485,0.1,,0.05%,0.05%
177.8,760,0.348,0.3845,0.1,,0.05%,0.05%
178.6,760,0.24,0.2665,0.1,,0.05%,0.05%
179.4,760,0.124,0.141,0.1,,0.05%,0.05%
176.3,760,0.559,0.597,0.1,,0.05%,0.05%
177.0,760,0.457,0.4955,0.1,,0.05%,0.05%
174.4,760,0.8335,0.858,0.1,,0.05%,0.05%
178.5,760,0.2425,0.273,0.1,,0.05%,0.05%
