"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.47,8384,0.0981,,0.003,+-0.01,,
322.89,23155,0.0981,,0.003,+-0.01,,
298.43,9739,0.1821,,0.003,+-0.01,,
322.89,26452,0.1821,,0.003,+-0.01,,
298.45,10944,0.3072,,0.003,+-0.01,,
322.89,29625,0.3072,,0.003,+-0.01,,
298.47,11834,0.3925,,0.003,+-0.01,,
322.89,31914,0.3925,,0.003,+-0.01,,
298.45,12807,0.4964,,0.003,+-0.01,,
322.89,34555,0.4964,,0.003,+-0.01,,
