"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
62.9,100.1,0.959,0.915,0.1,0.5,0.001,0.001
61.7,100.2,0.911,0.83,0.1,0.5,0.001,0.001
60.8,100.2,0.87,0.768,0.1,0.5,0.001,0.001
59.9,99.9,0.825,0.71,0.1,0.5,0.001,0.001
59.0,100.2,0.77,0.648,0.1,0.5,0.001,0.001
58.3,99.9,0.724,0.601,0.1,0.5,0.001,0.001
57.8,99.9,0.676,0.558,0.1,0.5,0.001,0.001
57.2,99.8,0.624,0.515,0.1,0.5,0.001,0.001
56.8,99.8,0.577,0.479,0.1,0.5,0.001,0.001
56.4,99.9,0.525,0.44,0.1,0.5,0.001,0.001
56.2,99.9,0.48,0.407,0.1,0.5,0.001,0.001
55.7,100.1,0.382,0.337,0.1,0.5,0.001,0.001
55.5,100.1,0.334,0.302,0.1,0.5,0.001,0.001
55.4,100.1,0.285,0.266,0.1,0.5,0.001,0.001
55.3,100.2,0.225,0.219,0.1,0.5,0.001,0.001
55.3,100.2,0.192,0.192,0.1,0.5,0.001,0.001
55.2,99.9,0.19,0.19,0.1,0.5,0.001,0.001
55.3,99.9,0.111,0.119,0.1,0.5,0.001,0.001
55.5,99.9,0.062,0.069,0.1,0.5,0.001,0.001
