"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
328.15,0.0265,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
328.16,0.4765,0.492,0.949,+-0.01,+-0.00013,+-0.001,+-0.001
328.16,0.5614,0.649,0.959,+-0.01,+-0.00013,+-0.001,+-0.001
328.19,0.6286,0.773,0.973,+-0.01,+-0.00013,+-0.001,+-0.001
328.18,0.7,0.893,0.985,+-0.01,+-0.00013,+-0.001,+-0.001
328.15,0.769,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
338.15,0.0433,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
338.15,0.5462,0.362,0.933,+-0.01,+-0.00013,+-0.001,+-0.001
338.16,0.6525,0.487,0.956,+-0.01,+-0.00013,+-0.001,+-0.001
338.16,0.773,0.646,0.968,+-0.01,+-0.00013,+-0.001,+-0.001
338.17,0.8701,0.773,0.978,+-0.01,+-0.00013,+-0.001,+-0.001
338.16,0.9693,0.889,0.982,+-0.01,+-0.00013,+-0.001,+-0.001
338.15,1.066,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
