"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
348.15,45.728,0.0,,,,,
348.15,42.391,0.1077,0.0341,,,,
348.15,41.069,0.1502,0.0479,,,,
348.15,40.223,0.1779,0.0571,,,,
348.15,39.271,0.2082,0.0673,,,,
348.15,38.223,0.2431,0.0796,,,,
348.15,37.136,0.2767,0.0918,,,,
348.15,35.856,0.3179,0.1072,,,,
348.15,34.901,0.3485,0.1194,,,,
348.15,34.004,0.3765,0.131,,,,
348.15,33.453,0.3942,0.1384,,,,
348.15,32.661,0.4191,0.1494,,,,
348.15,32.233,0.4324,0.1553,,,,
348.15,30.815,0.4757,0.1767,,,,
348.15,29.34,0.5205,0.2002,,,,
348.15,28.478,0.5461,0.2147,,,,
348.15,28.18,0.555,0.2198,,,,
348.15,27.291,0.5813,0.236,,,,
348.15,26.243,0.6116,0.2561,,,,
348.15,25.23,0.6404,0.2774,,,,
348.15,24.077,0.6727,0.3036,,,,
348.15,22.858,0.7056,0.3325,,,,
348.15,21.469,0.7429,0.3701,,,,
348.15,20.029,0.7799,0.4147,,,,
348.15,18.706,0.8124,0.4593,,,,
348.15,17.264,0.8477,0.5167,,,,
348.15,16.117,0.8749,0.5698,,,,
348.15,14.543,0.911,0.656,,,,
348.15,13.3,0.9382,0.7366,,,,
348.15,11.93,0.9682,0.8464,,,,
348.15,10.399,1.0,,,,,
