"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
0.0,10.0,0.054,0.9999,0.02,+-0.07,,
0.0,20.0,0.1069,0.9999,0.02,+-0.07,,
0.0,30.0,0.1563,0.9999,0.02,+-0.07,,
0.0,40.0,0.2023,0.9999,0.02,+-0.07,,
0.0,50.0,0.2448,0.9999,0.02,+-0.07,,
0.0,60.0,0.2838,0.9999,0.02,+-0.07,,
0.0,70.0,0.3194,0.9999,0.02,+-0.07,,
0.0,80.0,0.3515,0.9999,0.02,+-0.07,,
0.0,90.0,0.3801,0.9999,0.02,+-0.07,,
0.0,100.0,0.4087,0.9999,0.02,+-0.07,,
0.0,120.0,0.4639,0.9999,0.02,+-0.07,,
0.0,140.0,0.5131,0.9999,0.02,+-0.07,,
0.0,160.0,0.5538,0.9999,0.02,+-0.07,,
0.0,180.0,0.5922,0.9999,0.02,+-0.07,,
0.0,200.0,0.6234,0.9999,0.02,+-0.07,,
0.0,220.0,0.6512,0.999,0.02,+-0.07,,
0.0,240.0,0.6781,0.998,0.02,+-0.07,,
0.0,260.0,0.7075,0.9931,0.02,+-0.07,,
0.0,280.0,0.7434,0.9788,0.02,+-0.07,,
0.0,300.0,0.7908,0.9572,0.02,+-0.07,,
0.0,310.0,0.82,0.941,0.02,+-0.07,,
0.0,315.0,0.845,0.925,0.02,+-0.07,,
0.0,318.0,0.885,0.885,0.02,+-0.07,,
