"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
280,256,0.021,0.614,+-0.2,+-2,+-0.002,+-0.002
280,500,0.049,0.771,+-0.2,+-2,+-0.002,+-0.002
280,1000,0.105,0.835,+-0.2,+-2,+-0.002,+-0.002
280,1500,0.162,0.864,+-0.2,+-2,+-0.002,+-0.002
280,2000,0.22,0.882,+-0.2,+-2,+-0.002,+-0.002
280,2500,0.282,0.884,+-0.2,+-2,+-0.002,+-0.002
280,3000,0.342,0.884,+-0.2,+-2,+-0.002,+-0.002
280,3500,0.411,0.854,+-0.2,+-2,+-0.002,+-0.002
280,4000,0.507,0.816,+-0.2,+-2,+-0.002,+-0.002
280,4221,0.576,0.777,+-0.2,+-2,+-0.002,+-0.002
280,4220,0.601,0.772,+-0.2,+-2,+-0.002,+-0.002
280,4293,0.7,,+-0.2,+-2,+-0.002,+-0.002
