"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
310.7,3.56,0.0,0.0,+-0.05,,,
310.9,6.98,0.0347,0.4608,+-0.05,,,
310.8,13.9,0.1169,0.7176,+-0.05,,,
311.1,20.54,0.1963,0.7959,+-0.05,,,
310.8,27.55,0.2924,0.8409,+-0.05,,,
310.9,34.53,0.3878,0.8697,+-0.05,,,
311.0,41.5,0.4911,0.8859,+-0.05,,,
310.9,48.64,0.6005,0.901,+-0.05,,,
310.8,55.57,0.7075,0.9138,+-0.05,,,
310.9,61.97,0.7943,0.924,+-0.05,,,
310.8,68.93,0.8772,0.9351,+-0.05,,,
311.1,72.31,0.9085,0.9389,+-0.05,,,
310.9,73.96,0.9214,0.9341,+-0.05,,,
