"T, deg.C","P, Pa",X,Y,T Err,P Err,X Err,Y Err
25,64352,0.0,0.0,,,,
25,58122,0.1165,0.0274,,,,
25,53514,0.2022,0.0532,,,,
25,48345,0.2986,0.0982,,,,
25,44296,0.3755,0.1244,,,,
25,39875,0.4605,0.1718,,,,
25,34364,0.5705,0.2502,,,,
25,23606,0.8019,0.5283,,,,
25,21055,0.8597,0.6224,,,,
25,17393,0.9468,0.9293,,,,
25,15220,1.0,1.0,,,,
