"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
69.3,200,0.002,0.007,+-0.1,+-2,+-0.4%,+-0.4%
68.7,200,0.017,0.039,+-0.1,+-2,+-0.4%,+-0.4%
67.3,200,0.074,0.143,+-0.1,+-2,+-0.4%,+-0.4%
66.6,200,0.1085,0.187,+-0.1,+-2,+-0.4%,+-0.4%
65.7,200,0.153,0.257,+-0.1,+-2,+-0.4%,+-0.4%
64.8,200,0.21,0.3125,+-0.1,+-2,+-0.4%,+-0.4%
63.8,200,0.282,0.3875,+-0.1,+-2,+-0.4%,+-0.4%
63.4,200,0.3295,0.4385,+-0.1,+-2,+-0.4%,+-0.4%
61.6,200,0.4805,0.5775,+-0.1,+-2,+-0.4%,+-0.4%
61.4,200,0.51,0.6045,+-0.1,+-2,+-0.4%,+-0.4%
61.1,200,0.595,0.673,+-0.1,+-2,+-0.4%,+-0.4%
60.7,200,0.6865,0.744,+-0.1,+-2,+-0.4%,+-0.4%
60.7,200,0.6925,0.7525,+-0.1,+-2,+-0.4%,+-0.4%
60.3,200,0.773,0.817,+-0.1,+-2,+-0.4%,+-0.4%
60.15,200,0.83,0.853,+-0.1,+-2,+-0.4%,+-0.4%
60.1,200,0.8975,0.9175,+-0.1,+-2,+-0.4%,+-0.4%
60.0,200,0.8845,0.9025,+-0.1,+-2,+-0.4%,+-0.4%
59.7,200,0.9875,0.995,+-0.1,+-2,+-0.4%,+-0.4%
