"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
112.0,1.838,,0.4478,+-0.05,+-0.1%,,
112.0,1.814,0.0338,,+-0.05,+-0.1%,,
112.0,2.163,,0.5311,+-0.05,+-0.1%,,
112.0,2.152,0.0545,,+-0.05,+-0.1%,,
112.0,3.974,,0.7476,+-0.05,+-0.1%,,
112.0,3.961,0.1336,,+-0.05,+-0.1%,,
112.0,4.278,,0.766,+-0.05,+-0.1%,,
112.0,4.229,0.1505,,+-0.05,+-0.1%,,
112.0,5.486,,0.819,+-0.05,+-0.1%,,
112.0,5.413,0.217,,+-0.05,+-0.1%,,
112.0,6.9,,0.8626,+-0.05,+-0.1%,,
112.0,6.894,0.3082,,+-0.05,+-0.1%,,
112.0,9.108,,0.9041,+-0.05,+-0.1%,,
112.0,9.001,0.4701,,+-0.05,+-0.1%,,
112.0,9.336,,0.9086,+-0.05,+-0.1%,,
112.0,9.336,0.5172,,+-0.05,+-0.1%,,
112.0,10.71,,0.9287,+-0.05,+-0.1%,,
112.0,10.705,0.6103,,+-0.05,+-0.1%,,
112.0,11.813,,0.9433,+-0.05,+-0.1%,,
112.0,11.804,0.7068,,+-0.05,+-0.1%,,
112.0,12.791,,0.9552,+-0.05,+-0.1%,,
112.0,12.788,0.7811,,+-0.05,+-0.1%,,
