"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100.2,760,0.02,0.038,,+-0.2,,
98.2,760,0.077,0.138,,+-0.2,,
96.4,760,0.133,0.228,,+-0.2,,
94.7,760,0.188,0.311,,+-0.2,,
92.9,760,0.248,0.393,,+-0.2,,
91.3,760,0.306,0.465,,+-0.2,,
89.9,760,0.357,0.521,,+-0.2,,
88.5,760,0.413,0.58,,+-0.2,,
87.4,760,0.458,0.624,,+-0.2,,
87.1,760,0.469,0.634,,+-0.2,,
85.9,760,0.52,0.681,,+-0.2,,
84.5,760,0.586,0.734,,+-0.2,,
83.1,760,0.654,0.786,,+-0.2,,
81.7,760,0.721,0.832,,+-0.2,,
80.5,760,0.787,0.875,,+-0.2,,
79.3,760,0.85,0.914,,+-0.2,,
78.2,760,0.915,0.952,,+-0.2,,
77.2,760,0.976,0.986,,+-0.2,,
