"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-0.1,176.6,0.0,0.0,+-0.02,+-0.1,0.3%,0.3%
-0.1,189.3,0.0427,0.0863,+-0.02,+-0.1,0.3%,0.3%
-0.1,200.9,0.0922,0.167,+-0.02,+-0.1,0.3%,0.3%
-0.1,211.4,0.1456,0.2368,+-0.02,+-0.1,0.3%,0.3%
-0.1,220.1,0.2003,0.2963,+-0.02,+-0.1,0.3%,0.3%
-0.1,227.0,0.2529,0.347,+-0.02,+-0.1,0.3%,0.3%
-0.1,235.3,0.336,0.429,+-0.02,+-0.1,0.3%,0.3%
-0.1,239.8,0.397,0.475,+-0.02,+-0.1,0.3%,0.3%
-0.1,243.1,0.463,0.514,+-0.02,+-0.1,0.3%,0.3%
-0.1,245.3,0.516,0.549,+-0.02,+-0.1,0.3%,0.3%
-0.1,246.7,0.594,0.605,+-0.02,+-0.1,0.3%,0.3%
-0.1,246.9,0.663,0.655,+-0.02,+-0.1,0.3%,0.3%
-0.1,245.2,0.739,0.7121,+-0.02,+-0.1,0.3%,0.3%
-0.1,242.5,0.7999,0.7635,+-0.02,+-0.1,0.3%,0.3%
-0.1,237.7,0.8585,0.8209,+-0.02,+-0.1,0.3%,0.3%
-0.1,232.8,0.9033,0.8668,+-0.02,+-0.1,0.3%,0.3%
-0.1,228.2,0.9378,0.9092,+-0.02,+-0.1,0.3%,0.3%
-0.1,217.3,1.0,1.0,+-0.02,+-0.1,0.3%,0.3%
