"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,1.12,1.0,,+-0.02,+-0.01,+-0.05%,
298.15,4.03,0.9582,,+-0.02,+-0.01,+-0.05%,
298.15,6.05,0.9171,,+-0.02,+-0.01,+-0.05%,
298.15,8.01,0.8626,,+-0.02,+-0.01,+-0.05%,
298.15,10.09,0.7784,,+-0.02,+-0.01,+-0.05%,
298.15,12.39,0.6255,,+-0.02,+-0.01,+-0.05%,
298.15,13.76,0.4736,,+-0.02,+-0.01,+-0.05%,
298.15,14.29,0.3815,,+-0.02,+-0.01,+-0.05%,
298.15,14.53,0.3424,,+-0.02,+-0.01,+-0.05%,
298.15,14.71,0.3142,,+-0.02,+-0.01,+-0.05%,
298.15,15.16,0.2423,,+-0.02,+-0.01,+-0.05%,
298.15,15.4,0.2018,,+-0.02,+-0.01,+-0.05%,
298.15,15.63,0.1653,,+-0.02,+-0.01,+-0.05%,
298.15,15.8,0.139,,+-0.02,+-0.01,+-0.05%,
298.15,15.98,0.1131,,+-0.02,+-0.01,+-0.05%,
298.15,16.35,0.0647,,+-0.02,+-0.01,+-0.05%,
298.15,16.56,0.0441,,+-0.02,+-0.01,+-0.05%,
298.15,16.7,0.0307,,+-0.02,+-0.01,+-0.05%,
298.15,16.74,0.0267,,+-0.02,+-0.01,+-0.05%,
298.15,17.01,0.0,,+-0.02,+-0.01,+-0.05%,
