"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
138.17,760,0.005,0.055,,,,
137.1,760,0.007,0.076,,,,
134.8,760,0.019,0.185,,,,
131.2,760,0.024,0.216,,,,
130.8,760,0.027,0.23,,,,
129.6,760,0.032,0.26,,,,
128.6,760,0.035,0.26,,,,
121.1,760,0.065,0.41,,,,
118.4,760,0.08,0.455,,,,
116.5,760,0.088,0.495,,,,
112.7,760,0.105,0.54,,,,
113.1,760,0.108,0.545,,,,
107.75,760,0.14,0.62,,,,
105.5,760,0.165,0.655,,,,
102.5,760,0.19,0.705,,,,
98.4,760,0.225,0.78,,,,
96.25,760,0.245,0.79,,,,
93.25,760,0.27,0.8,,,,
91.3,760,0.295,0.81,,,,
91.0,760,0.31,0.825,,,,
90.5,760,0.311,0.83,,,,
90.45,760,0.315,0.835,,,,
90.42,760,0.33,0.825,,,,
89.28,760,0.345,0.84,,,,
88.26,760,0.36,0.865,,,,
85.3,760,0.415,0.88,,,,
85.83,760,0.415,0.86,,,,
85.73,760,0.425,0.87,,,,
84.9,760,0.455,0.87,,,,
82.1,760,0.515,0.905,,,,
80.98,760,0.54,0.89,,,,
79.9,760,0.57,0.905,,,,
79.55,760,0.58,0.91,,,,
77.8,760,0.64,0.92,,,,
76.56,760,0.7,0.935,,,,
75.85,760,0.715,0.938,,,,
76.7,760,0.725,0.935,,,,
75.82,760,0.725,0.93,,,,
74.95,760,0.755,0.94,,,,
74.68,760,0.775,0.945,,,,
73.3,760,0.805,0.948,,,,
72.55,760,0.837,0.949,,,,
