"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,20.666,0.0,,+-0.01,+-0.003,,
373.15,20.65,0.0,,+-0.01,+-0.003,,
373.15,20.177,0.0501,,+-0.01,+-0.003,,
373.15,19.176,0.1593,,+-0.01,+-0.003,,
373.15,18.163,0.2683,,+-0.01,+-0.003,,
373.15,17.262,0.3633,,+-0.01,+-0.003,,
373.15,16.529,0.4408,,+-0.01,+-0.003,,
373.15,15.353,0.562,,+-0.01,+-0.003,,
373.15,15.939,0.502,,+-0.01,+-0.003,,
373.15,15.484,0.5478,,+-0.01,+-0.003,,
373.15,14.383,0.656,,+-0.01,+-0.003,,
373.15,13.375,0.7523,,+-0.01,+-0.003,,
373.15,12.2,0.859,,+-0.01,+-0.003,,
373.15,11.186,0.9489,,+-0.01,+-0.003,,
373.15,10.612,1.0,,+-0.01,+-0.003,,
