"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
338,144.72,0.075,0.2205,,,,
338,159.76,0.1093,0.3112,,,,
338,173.6,0.1389,0.3762,,,,
338,204.2,0.2105,0.5185,,,,
338,237.96,0.2894,0.6425,,,,
338,267.29,0.3599,0.7284,,,,
338,303.97,0.4498,0.7991,,,,
338,346.84,0.5617,0.8818,,,,
338,369.82,0.6161,0.9066,,,,
338,401.67,0.7091,0.9458,,,,
338,412.42,0.7446,0.9552,,,,
