"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.1107,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1288,0.028,0.159,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1439,0.044,0.269,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1649,0.074,0.362,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2033,0.129,0.493,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2342,0.177,0.581,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2965,0.273,0.705,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.3636,0.399,0.821,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.417,0.496,0.875,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4472,0.523,0.888,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4694,0.585,0.904,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5101,0.671,0.934,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5623,0.766,0.957,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5907,0.814,0.965,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6355,0.906,0.984,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6467,0.935,0.991,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6716,0.988,0.996,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6722,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
