"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
249.6,12.791,0.9907,,+-0.03,+-0.07,,
249.62,12.928,0.9901,,+-0.03,+-0.07,,
245.8,11.483,0.9902,,+-0.03,+-0.07,,
245.09,11.69,0.9897,,+-0.03,+-0.07,,
249.62,12.029,0.9912,,+-0.03,+-0.07,,
249.69,13.058,0.9932,,+-0.03,+-0.07,,
253.15,14.374,0.9916,,+-0.03,+-0.07,,
258.16,16.441,0.992,,+-0.03,+-0.07,,
263.18,18.788,0.9922,,+-0.03,+-0.07,,
267.1,21.277,0.9922,,+-0.03,+-0.07,,
273.05,24.033,0.9932,,+-0.03,+-0.07,,
278.03,26.921,0.9929,,+-0.03,+-0.07,,
281.15,28.99,0.993,,+-0.03,+-0.07,,
