"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40,82.82,0.1792,0.2099,,0.2,0.002,0.002
40,82.82,0.1774,0.2278,,0.2,0.002,0.002
40,83.3,0.2043,0.2482,,0.2,0.002,0.002
40,83.3,0.2074,0.2447,,0.2,0.002,0.002
40,87.16,0.3811,0.4275,,0.2,0.002,0.002
40,87.16,0.376,0.4256,,0.2,0.002,0.002
40,87.8,0.4117,0.4615,,0.2,0.002,0.002
40,87.8,0.4148,0.4612,,0.2,0.002,0.002
40,90.29,0.5594,0.5985,,0.2,0.002,0.002
40,90.29,0.5615,0.6037,,0.2,0.002,0.002
40,91.7,0.6567,0.6865,,0.2,0.002,0.002
40,91.7,0.654,0.6878,,0.2,0.002,0.002
40,94.8,0.8437,0.8719,,0.2,0.002,0.002
40,94.8,0.847,0.8651,,0.2,0.002,0.002
