"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
303.15,2.297,0.6053,0.9956,0.002,0.001,,
303.15,3.256,0.7279,0.9967,0.002,0.001,,
303.15,3.808,0.7855,0.9973,0.002,0.001,,
303.15,3.827,0.782,0.9975,0.002,0.001,,
303.15,4.362,0.835,0.9981,0.002,0.001,,
303.15,4.458,0.8426,0.9975,0.002,0.001,,
303.15,4.813,0.8703,0.9982,0.002,0.001,,
303.15,4.858,0.8731,0.998,0.002,0.001,,
303.15,5.237,0.9035,0.998,0.002,0.001,,
303.15,5.728,0.9347,0.9983,0.002,0.001,,
303.15,5.754,0.9364,0.9978,0.002,0.001,,
303.15,6.093,0.956,0.9983,0.002,0.001,,
303.15,6.102,0.9564,0.9982,0.002,0.001,,
303.15,6.534,0.9776,0.9986,0.002,0.001,,
303.15,6.6,0.9795,0.9986,0.002,0.001,,
303.15,6.831,0.9887,0.9988,0.002,0.001,,
303.15,7.016,0.9945,0.9991,0.002,0.001,,
303.15,7.062,0.9956,0.9992,0.002,0.001,,
303.15,7.178,0.9982,0.9995,0.002,0.001,,
