"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
136.2,760,0.0,0.0,0.1,0.5,0.001,0.001
135.1,760,0.049,0.076,0.1,0.5,0.001,0.001
134.1,760,0.096,0.144,0.1,0.5,0.001,0.001
133.2,760,0.15,0.217,0.1,0.5,0.001,0.001
132.4,760,0.201,0.278,0.1,0.5,0.001,0.001
131.7,760,0.251,0.339,0.1,0.5,0.001,0.001
131.0,760,0.304,0.392,0.1,0.5,0.001,0.001
130.2,760,0.359,0.448,0.1,0.5,0.001,0.001
129.7,760,0.418,0.501,0.1,0.5,0.001,0.001
129.1,760,0.466,0.541,0.1,0.5,0.001,0.001
128.8,760,0.516,0.586,0.1,0.5,0.001,0.001
128.2,760,0.57,0.639,0.1,0.5,0.001,0.001
127.8,760,0.624,0.681,0.1,0.5,0.001,0.001
127.3,760,0.671,0.726,0.1,0.5,0.001,0.001
126.9,760,0.72,0.758,0.1,0.5,0.001,0.001
126.6,760,0.772,0.801,0.1,0.5,0.001,0.001
126.3,760,0.822,0.841,0.1,0.5,0.001,0.001
126.0,760,0.869,0.885,0.1,0.5,0.001,0.001
125.9,760,0.909,0.919,0.1,0.5,0.001,0.001
125.8,760,0.957,0.962,0.1,0.5,0.001,0.001
125.7,760,1.0,1.0,0.1,0.5,0.001,0.001
