"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
419.08,1.319,0.103,,+-0.05,+-0.01,0.001,
428.11,1.624,0.103,,+-0.05,+-0.01,0.001,
438.03,2.029,0.103,,+-0.05,+-0.01,0.001,
448.21,2.51,0.103,,+-0.05,+-0.01,0.001,
458.3,3.074,0.103,,+-0.05,+-0.01,0.001,
467.64,3.679,0.103,,+-0.05,+-0.01,0.001,
477.3,4.399,0.103,,+-0.05,+-0.01,0.001,
487.69,5.294,0.103,,+-0.05,+-0.01,0.001,
498.55,6.378,0.103,,+-0.05,+-0.01,0.001,
502.92,6.868,0.103,,+-0.05,+-0.01,0.001,
503.97,6.978,0.103,,+-0.05,+-0.01,0.001,
504.05,6.98,0.103,,+-0.05,+-0.01,0.001,
