"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1607,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1711,0.052,0.129,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.196,0.103,0.266,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2203,0.186,0.415,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.248,0.276,0.532,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2826,0.391,0.658,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.31,0.504,0.764,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3428,0.618,0.816,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3917,0.763,0.91,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4216,0.86,0.953,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4418,0.93,0.979,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.454,0.985,0.995,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4565,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
