"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
399.14,0.239,0.0,0.0,0.1,,+-0.005,+-0.005
399.46,0.366,0.046,0.3445,0.1,,+-0.005,+-0.005
399.84,0.618,0.1206,0.6281,0.1,,+-0.005,+-0.005
399.59,0.874,0.175,0.7415,0.1,,+-0.005,+-0.005
399.32,1.233,0.2419,0.8199,0.1,,+-0.005,+-0.005
399.28,1.653,0.3042,0.8671,0.1,,+-0.005,+-0.005
399.13,1.955,0.342,0.8884,0.1,,+-0.005,+-0.005
399.38,2.487,0.4006,0.912,0.1,,+-0.005,+-0.005
399.45,3.637,0.5006,0.9362,0.1,,+-0.005,+-0.005
398.92,4.762,,0.9535,0.1,,+-0.005,+-0.005
399.27,4.863,0.5751,0.9516,0.1,,+-0.005,+-0.005
399.19,5.365,0.6306,0.954,0.1,,+-0.005,+-0.005
398.99,6.763,0.6997,0.9623,0.1,,+-0.005,+-0.005
399.15,8.321,0.8896,0.9682,0.1,,+-0.005,+-0.005
396.96,9.458,,0.993,0.1,,+-0.005,+-0.005
399.14,10.125,1.0,1.0,0.1,,+-0.005,+-0.005
