"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
0,5.8,0.0,0.0,+-0.05,0.2%,,
0,6.7,0.014,0.119,+-0.05,0.2%,,
0,7.9,0.05,0.274,+-0.05,0.2%,,
0,9.2,0.079,0.352,+-0.05,0.2%,,
0,11.5,0.123,0.493,+-0.05,0.2%,,
0,14.3,0.225,0.614,+-0.05,0.2%,,
0,14.9,0.231,0.63,+-0.05,0.2%,,
0,16.6,0.277,0.662,+-0.05,0.2%,,
0,18.1,0.324,0.715,+-0.05,0.2%,,
0,20.7,0.408,0.772,+-0.05,0.2%,,
0,23.9,0.539,0.821,+-0.05,0.2%,,
0,27.8,0.703,0.88,+-0.05,0.2%,,
0,29.9,0.797,0.914,+-0.05,0.2%,,
0,31.6,0.853,0.94,+-0.05,0.2%,,
0,32.1,0.877,0.946,+-0.05,0.2%,,
0,33.0,0.924,0.962,+-0.05,0.2%,,
0,34.4,1.0,1.0,+-0.05,0.2%,,
