"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
50.0,405.43,0.0,0.0,+-0.002,0.02%,,
50.0,393.59,0.1,0.01592,+-0.002,0.02%,,
50.0,383.55,0.2,0.01932,+-0.002,0.02%,,
50.0,372.09,0.3,0.02192,+-0.002,0.02%,,
50.0,357.96,0.4,0.02453,+-0.002,0.02%,,
50.0,339.93,0.5,0.02751,+-0.002,0.02%,,
50.0,315.62,0.6,0.03145,+-0.002,0.02%,,
50.0,279.09,0.7,0.0379,+-0.002,0.02%,,
50.0,223.27,0.8,0.05071,+-0.002,0.02%,,
50.0,185.71,0.85,0.06327,+-0.002,0.02%,,
50.0,140.41,0.9,0.08694,+-0.002,0.02%,,
50.0,83.41,0.95,0.15223,+-0.002,0.02%,,
50.0,43.07,0.98,0.30211,+-0.002,0.02%,,
50.0,28.46,0.99,0.4609,+-0.002,0.02%,,
50.0,13.22,1.0,1.0,+-0.002,0.02%,,
