"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
190.0,495,0.9862,0.9921,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,468,0.9029,0.9612,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,435,0.7847,0.9067,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,408,0.6916,0.852,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,375,0.5849,0.7816,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,336,0.4539,0.6768,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,300,0.3402,0.567,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,269,0.2371,0.4455,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,250,0.1739,0.3562,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,225,0.09,0.2097,+-0.1,+-1.0,+-0.0025,+-0.0025
190.0,203,0.0261,0.0554,+-0.1,+-1.0,+-0.0025,+-0.0025
