"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
324.3,6.86,0.7608,0.9669,+-0.1,+-0.014,+-0.005,+-0.0007
324.33,6.543,0.7306,0.967,+-0.1,+-0.014,+-0.005,+-0.0007
324.32,6.205,0.6976,0.9673,+-0.1,+-0.014,+-0.005,+-0.0007
324.23,5.771,0.6517,0.9677,+-0.1,+-0.014,+-0.005,+-0.0007
324.21,5.502,0.6271,0.9674,+-0.1,+-0.014,+-0.005,+-0.0007
324.25,5.178,0.5964,0.9672,+-0.1,+-0.014,+-0.005,+-0.0007
324.17,4.806,0.5627,0.9649,+-0.1,+-0.014,+-0.005,+-0.0007
324.18,4.468,0.5287,0.9659,+-0.1,+-0.014,+-0.005,+-0.0007
323.99,4.116,0.4911,0.9647,+-0.1,+-0.014,+-0.005,+-0.0007
324.32,3.434,0.4242,0.9621,+-0.1,+-0.014,+-0.005,+-0.0007
324.21,3.096,0.393,0.9598,+-0.1,+-0.014,+-0.005,+-0.0007
324.22,2.668,0.3561,0.956,+-0.1,+-0.014,+-0.005,+-0.0007
324.23,2.324,0.3273,0.9519,+-0.1,+-0.014,+-0.005,+-0.0007
324.22,2.034,0.294,0.9472,+-0.1,+-0.014,+-0.005,+-0.0007
