"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
323.22,4.454,0.0,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,4.488,0.00102,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,4.665,0.00517,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,4.953,0.01019,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,5.296,0.01741,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,5.561,0.02231,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,5.773,0.02628,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,6.278,0.03802,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,6.947,0.0524,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,7.941,0.07438,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,9.958,0.13222,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.228,0.21747,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,13.65,0.3005,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.225,0.34526,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.529,0.37589,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.585,0.38676,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.748,0.40195,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.964,0.43365,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,15.107,0.46894,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.871,0.98547,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.647,0.98875,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.708,0.99011,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,14.453,0.99149,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,13.986,0.99354,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,13.963,0.99491,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,13.442,0.99629,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.81,0.99769,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.46,0.99894,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.439,0.99933,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.247,0.9997,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.22,12.163,1.0,,+-0.1,+-0.01,+-0.0001,+-0.0001
