"T, deg.C","P, Pa",X,Y,T Err,P Err,X Err,Y Err
226,30,,0.445,,,,
226,62,0.11,0.676,,,,
226,119,0.217,0.78,,,,
226,180,0.312,0.829,,,,
226,246,,0.847,,,,
226,248,0.421,,,,,
226,314,0.499,0.849,,,,
226,368,0.58,,,,,
