"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
70.0,239.3,0.086,0.042,+-0.1,+-0.5,+-0.002,+-0.010
70.0,233.6,0.148,0.058,+-0.1,+-0.5,+-0.002,+-0.010
70.0,225.6,0.248,0.073,+-0.1,+-0.5,+-0.002,+-0.010
70.0,222.7,0.269,0.077,+-0.1,+-0.5,+-0.002,+-0.010
70.0,217.4,0.338,0.078,+-0.1,+-0.5,+-0.002,+-0.010
70.0,219.8,0.352,0.087,+-0.1,+-0.5,+-0.002,+-0.010
70.0,220.0,0.354,0.081,+-0.1,+-0.5,+-0.002,+-0.010
70.0,211.3,0.424,0.094,+-0.1,+-0.5,+-0.002,+-0.010
70.0,208.3,0.465,0.089,+-0.1,+-0.5,+-0.002,+-0.010
70.0,203.0,0.537,0.095,+-0.1,+-0.5,+-0.002,+-0.010
70.0,200.3,0.584,0.093,+-0.1,+-0.5,+-0.002,+-0.010
70.0,198.0,0.639,0.094,+-0.1,+-0.5,+-0.002,+-0.010
70.0,195.3,0.628,0.103,+-0.1,+-0.5,+-0.002,+-0.010
70.0,198.0,0.639,0.094,+-0.1,+-0.5,+-0.002,+-0.010
70.0,184.9,0.705,0.104,+-0.1,+-0.5,+-0.002,+-0.010
