"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
98.92,101.3,0.0151,0.0475,+-0.02,,,
95.09,101.3,0.0781,0.1887,+-0.02,,,
90.96,101.3,0.2777,0.3799,+-0.02,,,
89.32,101.3,0.398,0.4736,+-0.02,,,
88.8,101.3,0.5552,0.5504,+-0.02,,,
89.0,101.3,0.5879,0.5588,+-0.02,,,
89.9,101.3,0.6926,0.602,+-0.02,,,
90.62,101.3,0.7484,0.6516,+-0.02,,,
91.75,101.3,0.8106,0.6974,+-0.02,,,
92.63,101.3,0.8595,0.745,+-0.02,,,
94.67,101.3,0.9116,0.8104,+-0.02,,,
96.3,101.3,0.9544,0.8676,+-0.02,,,
97.8,101.3,0.984,0.9517,+-0.02,,,
