"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
288.15,14.8,0.0,0.0,+-0.05,+-0.05,,
288.15,14.3,0.067,0.028,+-0.05,+-0.05,,
288.15,13.95,0.091,0.046,+-0.05,+-0.05,,
288.15,13.65,0.12,0.063,+-0.05,+-0.05,,
288.15,13.25,0.168,0.089,+-0.05,+-0.05,,
288.15,12.75,0.211,0.125,+-0.05,+-0.05,,
288.15,12.35,0.26,0.168,+-0.05,+-0.05,,
288.15,11.75,0.325,0.238,+-0.05,+-0.05,,
288.15,11.35,0.399,0.34,+-0.05,+-0.05,,
288.15,11.1,0.514,0.537,+-0.05,+-0.05,,
288.15,11.8,0.633,0.732,+-0.05,+-0.05,,
288.15,12.65,0.711,0.831,+-0.05,+-0.05,,
288.15,13.35,0.768,0.889,+-0.05,+-0.05,,
288.15,14.4,0.841,0.937,+-0.05,+-0.05,,
288.15,15.5,0.916,0.98,+-0.05,+-0.05,,
288.15,15.65,0.921,0.983,+-0.05,+-0.05,,
288.15,16.75,1.0,1.0,+-0.05,+-0.05,,
