"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75,150.51,1.0,,+-0.05,+-0.05,,
75,163.06,0.9514,,+-0.05,+-0.05,,
75,178.02,0.8955,,+-0.05,+-0.05,,
75,200.29,0.8255,,+-0.05,+-0.05,,
75,226.15,0.749,,+-0.05,+-0.05,,
75,257.73,0.659,,+-0.05,+-0.05,,
75,285.99,0.58,,+-0.05,+-0.05,,
75,315.85,0.4973,,+-0.05,+-0.05,,
75,320.95,0.4794,,+-0.05,+-0.05,,
75,350.39,0.396,,+-0.05,+-0.05,,
75,396.86,0.2574,,+-0.05,+-0.05,,
75,424.23,0.1698,,+-0.05,+-0.05,,
75,448.57,0.0971,,+-0.05,+-0.05,,
75,462.84,0.0563,,+-0.05,+-0.05,,
75,482.36,0.0,,+-0.05,+-0.05,,
