"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
454.99,101.33,0.0,0.0,0.1,+-0.13,,
446.8,101.33,0.057,0.2401,0.1,+-0.13,,
445.65,101.33,0.0717,0.2723,0.1,+-0.13,,
443.8,101.33,0.0932,0.3326,0.1,+-0.13,,
438.05,101.33,0.1871,0.4883,0.1,+-0.13,,
435.95,101.33,0.2209,0.5429,0.1,+-0.13,,
432.25,101.33,0.3444,0.6339,0.1,+-0.13,,
431.65,101.33,0.3667,0.6559,0.1,+-0.13,,
430.05,101.33,0.4514,0.7048,0.1,+-0.13,,
428.95,101.33,0.5178,0.7319,0.1,+-0.13,,
428.05,101.33,0.5859,0.7598,0.1,+-0.13,,
427.7,101.33,0.6159,0.7739,0.1,+-0.13,,
426.9,101.33,0.7049,0.8133,0.1,+-0.13,,
426.8,101.33,0.7163,0.8173,0.1,+-0.13,,
426.55,101.33,0.7497,0.8325,0.1,+-0.13,,
425.9,101.33,0.8282,0.8763,0.1,+-0.13,,
425.8,101.33,0.8564,0.8853,0.1,+-0.13,,
425.6,101.33,0.9036,0.9245,0.1,+-0.13,,
425.45,101.33,0.9387,0.9487,0.1,+-0.13,,
425.35,101.33,0.9678,0.9678,0.1,+-0.13,,
425.54,101.33,1.0,1.0,0.1,+-0.13,,
