"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40.1,4.3,0.0,0.0,+-0.1,+-3,+-0.004,+-0.004
40.1,33.0,0.029,0.8528,+-0.1,+-3,+-0.004,+-0.004
40.1,82.0,0.0856,0.9449,+-0.1,+-3,+-0.004,+-0.004
40.1,160.0,0.1834,0.9709,+-0.1,+-3,+-0.004,+-0.004
40.1,247.0,0.3179,0.9803,+-0.1,+-3,+-0.004,+-0.004
40.1,325.0,0.4858,0.9846,+-0.1,+-3,+-0.004,+-0.004
40.1,397.0,0.6255,0.9872,+-0.1,+-3,+-0.004,+-0.004
40.1,471.0,0.8229,0.9894,+-0.1,+-3,+-0.004,+-0.004
40.1,501.0,0.8998,0.9862,+-0.1,+-3,+-0.004,+-0.004
40.1,538.0,0.9623,0.987,+-0.1,+-3,+-0.004,+-0.004
40.1,544.0,0.9791,0.99,+-0.1,+-3,+-0.004,+-0.004
40.1,565.0,1.0,1.0,+-0.1,+-3,+-0.004,+-0.004
