"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
95,196,0.0,0.0,0.1,+-1,,
95,250,0.065,0.28,0.1,+-1,,
95,282,0.12,0.375,0.1,+-1,,
95,289,0.129,0.405,0.1,+-1,,
95,315,0.17,0.46,0.1,+-1,,
95,331,0.205,0.504,0.1,+-1,,
95,354,0.273,0.572,0.1,+-1,,
95,378,0.321,0.616,0.1,+-1,,
95,380,0.323,0.625,0.1,+-1,,
95,408,0.395,0.669,0.1,+-1,,
95,432,0.457,0.689,0.1,+-1,,
95,456,0.59,0.751,0.1,+-1,,
95,465,0.629,0.769,0.1,+-1,,
95,469,0.672,0.782,0.1,+-1,,
95,477,0.77,0.82,0.1,+-1,,
95,482,0.87,0.88,0.1,+-1,,
95,477,1.0,1.0,0.1,+-1,,
