"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
419.03,1.23,0.499,,+-0.05,+-0.01,0.001,
427.66,1.49,0.499,,+-0.05,+-0.01,0.001,
439.24,1.88,0.499,,+-0.05,+-0.01,0.001,
448.84,2.255,0.499,,+-0.05,+-0.01,0.001,
458.08,2.657,0.499,,+-0.05,+-0.01,0.001,
468.74,3.162,0.499,,+-0.05,+-0.01,0.001,
479.16,3.692,0.499,,+-0.05,+-0.01,0.001,
490.07,4.272,0.499,,+-0.05,+-0.01,0.001,
499.36,4.787,0.499,,+-0.05,+-0.01,0.001,
510.07,5.348,0.499,,+-0.05,+-0.01,0.001,
520.07,5.788,0.499,,+-0.05,+-0.01,0.001,
528.11,5.896,0.499,,+-0.05,+-0.01,0.001,
530.11,5.783,0.499,,+-0.05,+-0.01,0.001,
530.8,5.76,0.499,,+-0.05,+-0.01,0.001,
