"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
20.0,255.72,0.0,0.0,,,,
20.0,250.69,0.0281,0.0006,,,,
20.0,247.24,0.0526,0.0009,,,,
20.0,243.24,0.1065,0.0012,,,,
20.0,238.63,0.208,0.0013,,,,
20.0,237.04,0.309,0.0014,,,,
20.0,234.63,0.4473,0.0014,,,,
20.0,232.83,0.4592,0.0014,,,,
20.0,228.08,0.5607,0.0014,,,,
20.0,224.56,0.5595,0.0014,,,,
20.0,204.22,0.7016,0.0017,,,,
20.0,172.44,0.7917,0.0021,,,,
20.0,100.8,0.9046,0.0037,,,,
20.0,63.37,0.9454,0.0059,,,,
20.0,31.0,0.9728,0.0111,,,,
20.0,0.38,1.0,1.0,,,,
